CVE_ENT,NOM_ENT,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL_5000,PO2SM,IM_2015,GM_2015,IMN_2015,ENTIDAD,NOM_ENT_etq
20,Oaxaca,3967889,13.6546777433055,51.5338562848325,2.4321343134859,2.87447462527698,13.0536496115228,13.4369392908904,38.3326608510792,61.5084746574312,49.456091234949,9.30642055743373,Muy alto,0.42017224706293,Oaxaca,Oaxaca
21,Puebla,6168883,8.38667031015293,43.9127731047864,1.59713207925292,0.878059090595011,6.93796091775292,5.68843624519429,35.269064577306,38.4971963319778,52.1636900020327,13.4400521712335,Alto,0.606800099627928,Puebla,Puebla
22,Querétaro,2038372,4.57161651044236,31.7764187048744,2.95730663184144,0.670498601695643,3.23089615699663,1.52326183774329,24.2096035769861,39.0743200946638,25.9233549905725,16.3114936387848,Bajo,0.736441781549019,Querétaro,Querétaro
23,Quintana Roo,1501562,3.89758373632097,28.5714215614317,2.19195130418937,1.11466879327451,2.69679796089583,2.41440161878453,36.3095805907978,14.36304328426,28.3207635439357,16.2311018668968,Medio,0.732812202246096,Quintana Roo,Quintana Roo
24,San Luis Potosí,2717820,6.33302557636925,37.5082120610844,2.35229722575386,2.2866463931373,10.6767011463767,5.55532392742751,25.2144212951864,40.0838539711975,43.639170645021,13.7855139051702,Alto,0.62239722766729,San Luis Potosí,San Luis Potosí
25,Sinaloa,2966321,4.18250104016353,34.4799717777944,2.59352787663963,0.519913889894752,2.99349120676517,2.84925549745875,30.3715501839985,32.8534234831632,32.7047842638123,16.0652592115959,Medio,0.725324631626799,Sinaloa,Sinaloa
26,Sonora,2850330,2.19441098353886,27.4263189589007,1.04682093149668,1.05036082258913,2.51703571479168,2.60712596691787,26.6337087561486,17.3884427417176,29.9264313930378,17.4070103082885,Bajo,0.785902871113964,Sonora,Sonora
27,Tabasco,2395272,5.40175783583605,33.5578890944895,1.86836478696785,0.434187341010136,10.102466609067,3.69427569632558,32.5030318256398,53.6482704260727,36.9571917470462,14.9555131088142,Medio,0.67522110247749,Tabasco,Tabasco
28,Tamaulipas,3441698,3.03485925293348,32.272016759751,0.36969687186749,0.733854088530326,2.51082490909992,1.51719387890947,28.6942426436492,13.9193212187705,37.3857104981216,17.190712275749,Bajo,0.776137308746932,Tamaulipas,Tamaulipas
29,Tlaxcala,1272847,3.9805214194455,32.5448296235866,1.40062731648015,0.474084581910713,1.13626709710305,2.00266128104105,31.9975492172006,36.3957333442276,51.4658846926044,15.9201616701715,Medio,0.718773674720504,Tlaxcala,Tlaxcala
30,Veracruz de Ignacio de la Llave,8112505,9.51237300984314,45.384072252598,1.57754371553066,1.62146267159732,13.3912909129658,6.83908124880719,32.033619382218,46.2013767634041,49.6774489869824,12.4082411320987,Alto,0.560215232741454,Veracruz,Veracruz
31,Yucatán,2097175,7.46654777149315,39.1906398766501,10.1056838339162,1.08221698378918,1.64192050517399,1.67399019409144,36.4221971229629,26.2744406165437,47.6043202227064,12.6091885429939,Alto,0.569287735392313,Yucatán,Yucatán
32,Zacatecas,1579209,4.42083221632118,39.3912619896321,4.19645702703823,0.624625332527283,3.12836110739635,1.24845205021229,24.9936652881696,48.1853890143737,45.3963408921027,15.2194374444135,Medio,0.687136927735865,Zacatecas,Zacatecas
